Cycle,Joystick1/Buttons[0],Joystick1/Buttons[1],Joystick1/Buttons[2],Joystick1/Buttons[3],Joystick1/Buttons[4],Joystick1/Buttons[5],Joystick1/Buttons[6],Joystick1/Buttons[7],Joystick1/Buttons[8],Joystick1/Buttons[9],Joystick1/Buttons[10],Joystick1/Buttons[11],Joystick1/Axes[0],Joystick1/Axes[1],Joystick1/Axes[2],Joystick1/Axes[3],Joystick1/Axes[4],Joystick1/Axes[5],Joystick2/Buttons[0],Joystick2/Buttons[1],Joystick2/Buttons[2],Joystick2/Buttons[3],Joystick2/Buttons[4],Joystick2/Buttons[5],Joystick2/Buttons[6],Joystick2/Buttons[7],Joystick2/Buttons[8],Joystick2/Buttons[9],Joystick2/Buttons[10],Joystick2/Buttons[11],Joystick2/Axes[0],Joystick2/Axes[1],Joystick2/Axes[2],Joystick2/Axes[3],Joystick2/Axes[4],Joystick2/Axes[5],Joystick3/Buttons[0],Joystick3/Buttons[1],Joystick3/Buttons[2],Joystick3/Buttons[3],Joystick3/Buttons[4],Joystick3/Buttons[5],Joystick3/Buttons[6],Joystick3/Buttons[7],Joystick3/Buttons[8],Joystick3/Buttons[9],Joystick3/Buttons[10],Joystick3/Axes[0],Joystick3/Axes[1],Joystick3/Axes[2],DrivetrainData/ControlModes[0],DrivetrainData/ControlModes[1],DrivetrainData/OpenLoopOutputs[0],DrivetrainData/OpenLoopOutputs[1],DrivetrainData/DesiredRates[0],DrivetrainData/DesiredRates[1],DrivetrainData/PositionSetpoints[0],DrivetrainData/PositionSetpoints[1],DrivetrainData/MaxSpeeds[0],DrivetrainData/MaxSpeeds[1],DrivetrainData/PositionStartLocations[0],DrivetrainData/PositionStartLocations[1],DrivetrainData/ZeroHeading,DrivetrainData/PositionSetpointChanged[0],DrivetrainData/PositionSetpointChanged[1],DrivetrainData/SyncArc,DrivetrainData/OverrideForwardCurrentLimit,DrivetrainData/OverrideReverseCurrentLimit,DrivetrainData/ForwardCurrentLimit,DrivetrainData/ReverseCurrentLimit,DriveEncoders/NormalizedDriveSpeed,DriveEncoders/NormalizedTurningSpeed,DriveEncoders/DriveDistance,DriveEncoders/TurnAngle,DriveEncoders/TurnTicks,DriveEncoders/NormalizedLeftSpeed,DriveEncoders/NormalizedRightSpeed,LeftDriveEncoder/Rate,LeftDriveEncoder/Count,RightDriveEncoder/Rate,RightDriveEncoder/Count,AsyncCANJaguarLeftDriveA/DutyCycle,AsyncCANJaguarLeftDriveA/NeutralMode,AsyncCANJaguarLeftDriveB/DutyCycle,AsyncCANJaguarLeftDriveB/NeutralMode,LeftDriveESC/DutyCycle,LeftDriveESC/Brake,AsyncCANJaguarRightDriveA/DutyCycle,AsyncCANJaguarRightDriveA/NeutralMode,AsyncCANJaguarRightDriveB/DutyCycle,AsyncCANJaguarRightDriveB/NeutralMode,RightDriveESC/DutyCycle,RightDriveESC/Brake,Climb/State,PneumaticsAngle/State,PneumaticsCollector/State
1319,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1320,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1321,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1322,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1323,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1324,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1325,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1326,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1327,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1328,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1329,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1330,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1331,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1332,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1333,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1334,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1335,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1336,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
1337,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00787401571869850160,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,1,1,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,-0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0,45,0,0,0.50000000000000000000,0.50000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0.00000000000000000000,2,0.00000000000000000000,2,0.00000000000000000000,0,0,2,2
